"","Fruit.length..mm.","Fruit.width..mm.","Plant.height..m.","Crop.mass..g."
"Tapirira_guianensis",13.31,11.17,17.57,3494.67
"Ternstroemia_brachypoda",37.63,36.3,14,307.5
"Ternstroemia_penduliflora",37.63,36.3,14,307.5
"Theobroma_cacao",88.47,64.33,9.83,603.11
"Thibaudia_crenulata",7.11,7.76,3.11,153.86
"Thoracocarpus_bissectus",62.5,42.4,6.4,151.56
"Tibouchina_calycina",6.7,6.64,2.83,3.55
"Tococa_caquetana",6.38,5.85,0.73,4.82
"Tococa_quadrialata",6.38,5.85,0.73,4.82
"Tovomita_stylosa",12.16,10.6,7,10.2
"Tovomita_weddelliana",17.03,12.42,9,288.75
"Trema_micrantha",2.59,2.15,9.09,1.54
"Trichilia_elegans",20.6,11.42,5,10.56
"Trichilia_quadrijuga",21.56,12.56,14,63.38
"Trigynaea_duckei",30.8,25.31,7,66.24
"Tripodanthus_acutifolius",8.15,4.93,8,276.25
"Turpinia_occidentalis",7.22,8.33,7.19,235.87
"Urera_lianoides",2.02,2.33,4,15
"Vaccinium_crenatum",5.35,6.31,0.65,12.98
"Vaccinium_dependens",5.5,6.05,0.97,14.94
"Vaccinium_floribundum",5.65,5.8,1.29,16.57
"Vallea_stipularis",13.26,10.57,7.75,306.08
"Viburnum_ayavacense",9.5,5.62,8,23.87
"Viburnum_hallii",6.91,6.15,5.45,249.29
"Viburnum_reticulatum",8.44,6.62,7.71,21.65
"Viburnum_seemenii",9.64,6.21,5.4,379.48
"Vismia_gracilis",13.68,10.43,9.52,1087.03
"Vismia_schultesii",16.77,11.78,11.76,785.89
"Wettinia_augusta",27.44,17.51,9.72,2055
"Zanthoxylum_mantaro",4.61,3.81,6.13,27.9
"Zanthoxylum_riedelianum",17.07,13.33,8.5,423
