"Species","Bark thickness","Conduit diam.","Crown diameter","Crown height","Leaf K","Leaf N","Leaf P","Leaf Vcmax","Leaf area","Leaf density","Leaf thickness","Root depth","Seed dry mass","Specific leaf area","Stem diameter","Stomatal conduct.","Tree height","Wood density"
"Santisukia pagetii",4.05304854163264,21.7982611243578,8.91,8.12,9.4105750909661,23.7372763400894,1.50088026853345,0.34981282688288,39176.2952886238,0.309284649239264,0.155541142056557,1.17296593650042,2.59770478305838,14.3144815730399,0.392,103.405161099941,14,0.568459792462309
"Sapindus delavayi",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.2655866023021,23.607435652038,1.1960236051036,0.395966296523907,8843.49682123501,0.369795677431928,0.184487877129799,1.6,766.782259387037,12.6119973039165,0.388,188.233408354887,19,0.592363396565154
"Sapindus emarginatus",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.5018570146643,23.6020590769694,1.22431949429743,0.395966296523907,10055.3048506422,0.372046955381521,0.184743405594534,1.6,210.724252702773,8.77997018676596,0.388,181.796820515402,19,0.62180433780162
"Sapindus oahuensis",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.2655866023021,23.607435652038,1.1960236051036,0.395966296523907,8843.49682123501,0.369795677431928,0.184487877129799,1.6,595.80682641773,12.6119973039165,0.388,188.233408354887,19,0.618518629116395
"Sapindus rarak",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.2655866023021,23.607435652038,1.1960236051036,0.395966296523907,8843.49682123501,0.369795677431928,0.184487877129799,1.6,522.188736553648,12.6119973039165,0.388,188.233408354887,19,0.592363396565154
"Sapindus saponaria",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.2655866023021,23.607435652038,1.1960236051036,0.395966296523907,8843.49682123501,0.369795677431928,0.184487877129799,1.6,454.756686315549,12.6119973039165,0.388,188.233408354887,19,0.666274850271224
"Sapindus tomentosus",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.2655866023021,23.607435652038,1.1960236051036,0.395966296523907,8843.49682123501,0.369795677431928,0.184487877129799,1.6,690.303864848677,12.6119973039165,0.388,188.233408354887,19,0.592363396565154
"Sapindus trifoliatus",3.68864966006676,18.8817225621442,6.416828548874,6.662,12.5018570146643,23.6020590769694,1.22431949429743,0.395966296523907,10055.3048506422,0.372046955381521,0.184743405594534,1.6,210.724252702773,8.77997018676596,0.388,181.796820515402,19,0.62180433780162
"Sapium adenodon",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,22.2212835720226,1.9043383104439,0.122121801666222,3202.847347058,0.327764400453038,0.240499771601733,1.7,32.6089122527376,21.5940749200797,0.541,150.323223776478,50,0.405765539265947
"Sapium allenii",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,22.7855824100048,1.91666091667689,0.122121801666222,3202.847347058,0.327764400453038,0.252071894650924,1.7,33.1382619559416,21.5940749200797,0.541,150.323223776478,50,0.381768803378565
"Sapium argutum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.8514217326687,1.88154724300899,0.122121801666222,3202.847347058,0.327764400453038,0.25183603285894,1.7,33.2122756659729,21.5940749200797,0.541,150.323223776478,50,0.413268439716096
"Sapium ciliatum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,22.209981269409,1.88567259846424,0.122121801666222,3202.847347058,0.327764400453038,0.252881784426465,1.7,33.3112920548775,21.5940749200797,0.541,150.323223776478,50,0.420122346808091
"Sapium cuneatum",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,22.4649027822463,1.89140077933618,0.122121801666222,3202.847347058,0.327764400453038,0.239032714258597,1.7,33.1382619559416,21.5940749200797,0.541,150.323223776478,50,0.393193787807663
"Sapium daphnoides",5.15524037079119,26.1142281448294,11.749893614,15.7,10.9145837550009,21.9579139530026,1.87748159759505,0.122121801666222,3202.847347058,0.327764400453038,0.257950661733217,1.7,32.7791783735373,21.5940749200797,0.541,150.323223776478,50,0.421888377754652
